wdId,sigla,name,fullname
Q478465,N,Norte,Região Norte do Brasil
Q980175,CO,Centro-Oeste,Região Centro-Oeste do Brasil
Q1060042,S,Sul,Região Sul do Brasil
Q1088815,SE,Sudeste,Região Sudeste do Brasil
Q1136194,NE,Nordeste,Região Nordeste do Brasil
